JUNB	22.0553924156636
JUN	21.5053930572887
PPP1R15A	21.2104546021797
FOS	21.0850267939487
ZFP36	20.7307053080121
IER2	20.165239575311
	19.8772598672459
CYP1A1	19.8330971466131
HES1	19.2914240906153
TXNIP	19.1088268346972
IER5	19.0088279275555
GADD45B	18.9350970009829
MAFF	18.8725164040931
MT2A	18.6107307577897
EGR1	18.5301316274953
DUSP1	18.5037774887906
BCYRN1	18.4503886997901
	18.4263497763932
LPP-AS2	18.4068702792643
CCN1	18.4065364149064
ADM	18.3757645663532
	18.3578799635876
NR4A1	18.168332743454
ADIRF-AS1	18.075404164
	18.0675086519043
TIPARP	18.052072512034
H1-0	17.9779198738785
CHAC1	17.8802107695219
FOSB	17.8801314136168
TMEM107	17.8085894305659
IER5L	17.7415460404415
GDF15	17.6936842384857
DDIT4	17.409117408021
IRF1	17.3437169575642
	17.3308834952778
NFKBIA	17.3295301816368
TSC22D2	17.3144700959466
ID1	17.2664101773738
SAT1	17.254982624699
GADD45A	17.2079984055385
	17.2053330185032
LURAP1L	17.1982633666783
FTH1	17.1871195358989
NEAT1	17.1632332155679
JUND	17.139335625371
	17.1248537241111
HSPA5	17.1198053444404
	17.108460342202
IFI30	17.0817784998449
ARC	17.0304296839946
	16.9886893090277
HEXA-AS1	16.9788298342793
VGF	16.9082042498652
MT1X	16.8823441875396
EIF1	16.8701093964235
EXT1	16.8678356722947
	16.866967564667
SNHG5	16.8606221007289
RASD1	16.8398618443963
	16.7307541482916
	16.6759082255431
	16.6603007033379
	16.6559604003255
	16.6547393823292
SOCS3	16.5843686444188
H2BC4	16.5364042566435
	16.531244245078
ELF3	16.5222232668145
H1-2	16.5197168939056
	16.5162634621541
SREBF2-AS1	16.4869916149432
CXCL8	16.4832734045474
BHLHE40	16.4781418988771
SOD2	16.4780627779273
LINC02029	16.4493897345611
H2AC6	16.4355271866139
	16.3770767627356
MIR222HG	16.3663148936484
VMP1	16.2768365928759
NR1D1	16.2612878913305
EIF2AK3-DT	16.2406342100386
KLLN	16.197551689169
CXCL2	16.1858641689942
	16.173611445053
	16.1732643441469
STAM-AS1	16.1577341339487
ILF3-DT	16.1283753089751
LEKR1	16.101143644449
	16.0953601889705
LINC01578	16.0588738856455
	16.0509362830739
	16.0095653345994
H2BC21	15.9945611717494
	15.9797622053076
MAP1LC3B	15.940060381903
DUSP4	15.9180387495271
	15.917442826768
	15.8905581505052
	15.8895322062698
RBM4	15.8846464612658
	15.8763449738194
	15.8718052831535
THUMPD3-AS1	15.871462332166
	15.844354209278
CEBPB	15.837506082616
	15.8038124585942
CCNL1	15.794239789848
	15.7869928914898
	15.7697219667267
RNVU1-6	15.7634361111697
	15.7543179371836
	15.7268075153423
	15.7118874204243
RNVU1-15	15.6959863062808
	15.6872414708304
SNAI1	15.681371817417
	15.6767681956202
ZC3H12A	15.6558209458949
	15.6254376569188
ATF3	15.6245566630602
LINC01003	15.6216708411163
	15.6111860148469
	15.6015054457507
PHLDA1	15.6003260653893
DLL4	15.5683275716882
GPR176-DT	15.5500297659571
TAF15	15.50793973662
ATP2B1-AS1	15.5018996052384
H3-3B	15.4904909371581
RNVU1-27	15.4826288321637
ADAMTSL4-AS1	15.4716728218777
	15.4420097578127
H2AC7	15.431625342034
ZFP36L1	15.4004057790274
	15.3775308778594
RPL41	15.362639749487
	15.3290142680792
PACERR	15.3065208190471
RPL3L	15.3008767822646
BRI3	15.2839625039369
H1-10	15.2757324626219
C12orf57	15.2684517626021
H1-4	15.2149269208091
	15.1755210605969
CSKMT	15.1637780407301
	15.1615842042214
MAFA	15.1492789754659
H4C3	15.1490210730772
ID3	15.1390916944318
IFRD1	15.1345677101467
ARIH2OS	15.1297230031804
CELSR3	15.1253527673641
HERPUD1	15.1176887733196
DNAJC3-DT	15.1043868278365
CDK2AP2	15.0725687577992
FTL	15.0685832477254
PMAIP1	15.0373766017222
RUNX1	15.0247966282308
	14.9983593891313
H3C9P	14.9744678024757
	14.955224890968
MIR3143	14.9499927868581
MIR3189	14.9471871492209
	14.9291223170969
TMEM202-AS1	14.9179020303194
GABARAP	14.9045789574787
	14.8738622193297
	14.8662792984829
EXOC3-AS1	14.858278386755
H2AC20	14.8386924983967
	14.7988818175681
STC2	14.7921101481475
DBP	14.7847840485644
	14.7722203963569
H2AC11	14.7626561465208
CXCL3	14.7558139917808
KLF4	14.7407143402329
RNF139-AS1	14.7176792900136
POLR2J3	14.6971866947922
	14.6780111421016
HEXIM1	14.6766484768159
H2AJ	14.6751710066686
CALR	14.66211014679
LINC01873	14.6415638736105
ZNF646	14.6281207278855
RAB30-DT	14.6082333341735
LINC01004	14.6024712810269
	14.5879536435304
	14.5846418529558
RHOB	14.5608931227267
RNVU1-22	14.5503680043975
	14.544951189526
NFKBIZ	14.541433561894
H3C7	14.5402139582922
H4C5	14.5333090058745
	14.5195351471067
PIM1	14.5135309115421
NDUFV2	14.5015973021612
	14.4950582587102
	14.4869231445182
DLX2	14.4838210599589
KRTAP5-AS1	14.4649231116408
SNORA80B	14.4443871297544
	14.4250490013037
SLC16A10	14.4172192027134
B4GALNT3	14.4157471017516
LINC01647	14.4104820407631
	14.4084860692622
	14.3842240953113
MIR616	14.3328725604516
	14.3312665172484
	14.2854795115633
	14.2740553733822
AKT1S1	14.2662944504446
SDAD1P1	14.2615239580798
	14.2537526349469
RBM15	14.2312699171835
VEGFA	14.2234019618902
MIR181A2HG	14.2158220179056
NA	14.1995333375396
	14.1850544982203
LINC00511	14.1818259654598
DDIT3	14.1542349190408
